,rev_ids,ratings
734,693337130,Stub
735,693338177,Stub
736,693354280,Stub
737,693388584,Start
738,693431430,Stub
739,693514155,Stub
740,693552292,Stub
741,693573541,Stub
742,693624260,Stub
743,693661018,Stub
744,693714773,Stub
745,693721533,Stub
746,693748230,Stub
747,693817205,C
748,694039903,Stub
749,694084978,Stub
750,694112087,Stub
751,694313944,B
752,694335820,C
753,694337217,Stub
754,694364743,Stub
755,694519009,Start
756,694557304,Start
757,694588693,Stub
758,694815600,Stub
759,694889020,Stub
760,694949199,Stub
761,694949347,Stub
762,694954386,Stub
763,694969219,Stub
764,694969272,Stub
765,695276940,Stub
766,695389357,Start
767,695393414,Stub
768,695405443,Stub
769,695633280,Stub
770,695644408,Start
771,695938011,Stub
772,695941127,Stub
773,696105770,Stub
774,696119166,Stub
775,696253449,Start
776,696310078,Stub
777,696350624,Stub
778,696479863,Stub
779,696606312,Stub
780,696608092,Stub
781,696608668,Stub
782,697009255,Stub
783,697267319,Stub
784,697280332,Stub
785,697369222,Stub
786,697507956,Start
787,697511001,Stub
788,697556836,Start
789,697559666,Start
790,697662367,Stub
791,697742639,Stub
792,697897076,Stub
793,697908533,Stub
794,698048774,Stub
795,698077739,Stub
796,698093715,Start
797,698241676,Stub
798,698253253,Stub
799,698266236,Start
800,698345894,Stub
801,698571611,Stub
802,698571613,Stub
803,698571631,Stub
804,698571634,Stub
805,698571661,Stub
806,698571662,Stub
807,698571672,Stub
808,698571717,Stub
809,698571731,Stub
810,698571738,Stub
811,698571745,Stub
812,698571747,Stub
813,698571748,Stub
814,698571750,Stub
815,698571758,Stub
816,698571782,Stub
817,698571785,Stub
818,698571803,Stub
819,698572100,Start
820,698572160,Stub
821,698572183,Stub
822,698572200,Stub
823,698572239,Stub
824,698572252,Stub
825,698572269,Stub
826,698572288,Stub
827,698572291,Stub
828,698572322,Stub
829,698572326,Stub
830,698572327,
831,698573619,Stub
832,698573648,Stub
833,698573657,Stub
834,698573663,Stub
835,698573690,Stub
836,698573707,Stub
837,698573738,Stub
838,698575586,Stub
839,698575613,Stub
840,698575620,Stub
841,698575646,Stub
842,698575662,Stub
843,698575677,Stub
844,698575695,Stub
845,698575714,Stub
846,698582041,Stub
847,698635954,Start
848,698806662,Stub
849,698806682,Stub
850,698807297,Stub
851,698807322,Start
852,698807325,Start
853,698807337,Stub
854,698807345,Stub
855,698807371,Stub
856,698807791,Stub
857,698865505,Start
858,698946168,Stub
859,698946169,Stub
860,698947539,Stub
861,698947672,Stub
862,698947841,Stub
863,698948097,Stub
864,698948150,Stub
865,698964210,C
866,699022350,Stub
867,699090098,Stub
868,699090515,Stub
869,699093655,Stub
870,699105110,Stub
871,699105313,Stub
872,699105350,Start
873,699105456,Stub
874,699105911,Start
875,699105927,Start
876,699105952,Stub
877,699105999,Stub
878,699106128,Stub
879,699106152,Stub
880,699106649,Stub
881,699106665,Stub
882,699136209,Stub
883,699143672,Stub
884,699197059,Stub
885,699197123,C
886,699197323,Stub
887,699197850,Start
888,699198463,Start
889,699198744,Start
890,699199094,Stub
891,699217035,Stub
892,699217197,Stub
893,699244801,Stub
894,699260156,
895,699336500,Start
896,699336835,Stub
897,699336991,Start
898,699337057,Start
899,699337076,Stub
900,699337845,Stub
901,699338274,Stub
902,699338569,Stub
903,699339086,Stub
904,699339429,Start
905,699339451,Stub
906,699339741,Stub
907,699339799,Stub
908,699339851,Stub
909,699340034,Stub
910,699340111,Stub
911,699340192,Start
912,699340750,Stub
913,699340982,Start
914,699341069,Start
915,699341077,Stub
916,699341277,Start
917,699359388,Start
918,699363937,Stub
919,699385095,Stub
920,699387282,Stub
921,699387500,Stub
922,699387764,Stub
923,699520934,Start
924,699565471,Stub
925,699589239,Stub
926,699674395,Stub
927,699691415,Start
928,699692070,Stub
929,699698855,Stub
930,699698896,Stub
931,699700649,Stub
932,699701755,Stub
933,699739069,Stub
934,699876153,Stub
935,699931269,Stub
936,699979806,C
937,700002117,Stub
938,700027061,Stub
939,700061282,Stub
940,700172278,C
941,700180948,Stub
942,700307974,Stub
943,700312550,Stub
944,700355020,Stub
945,700355034,Stub
946,700355073,Stub
947,700400143,Stub
948,700445444,Start
949,700458967,Start
950,700474660,Stub
951,700475564,Stub
952,700476319,Stub
953,700476353,Stub
954,700669417,Stub
955,700670718,C
956,700719585,Stub
957,700864508,Stub
958,700932354,Start
959,701014752,Start
960,701047665,C
961,701048027,Stub
962,701106976,Start
963,701219833,Start
964,701394744,Stub
965,701395219,Stub
966,701431224,Stub
967,701437626,Stub
968,701452937,Start
969,701588716,Stub
970,701742218,Stub
971,701745522,Stub
972,701771698,Start
973,701832149,Stub
974,701871912,Stub
975,701896358,Start
976,701904302,Stub
977,701961167,Stub
978,701998658,Stub
979,702098995,Stub
980,702258783,Stub
981,702355716,Stub
982,702357552,Stub
983,702484294,Stub
984,702509338,Stub
985,702687818,Stub
986,702707688,Start
987,702712670,Start
988,702727008,Start
989,702729826,Stub
990,702740797,Start
991,702832114,Stub
992,702875035,Stub
993,702893111,Stub
994,702930848,Stub
995,702949370,Stub
996,702964122,Start
997,702969677,Stub
998,702972334,Stub
999,702973103,Stub
1000,702974211,Start
1001,702974510,Stub
1002,703029024,Stub
1003,703037968,Start
1004,703053769,Stub
1005,703053876,Stub
1006,703053905,Stub
1007,703054379,Stub
1008,703054420,Stub
1009,703054447,Stub
1010,703054465,Stub
1011,703054481,Stub
1012,703054542,Start
1013,703054561,Stub
1014,703054581,Stub
1015,703054633,Stub
1016,703054668,Stub
1017,703055426,Stub
1018,703055552,Stub
1019,703060685,Stub
1020,703098503,Stub
1021,703105765,C
1022,703133769,Stub
1023,703183568,Start
1024,703187650,C
1025,703207074,Stub
1026,703216645,Stub
1027,703222512,Stub
1028,703224305,Stub
1029,703226576,Stub
1030,703296748,Stub
1031,703296780,Stub
1032,703296853,Stub
1033,703325745,Stub
1034,703331074,C
1035,703366953,Stub
1036,703366980,Stub
1037,703380433,Stub
1038,703384635,Stub
1039,703384656,Stub
1040,703385617,Stub
1041,703386200,Start
1042,703392035,Stub
1043,703392121,Stub
1044,703401191,Stub
1045,703401364,Stub
1046,703403120,Stub
1047,703405191,Start
1048,703406889,Stub
1049,703412803,Stub
1050,703416870,Stub
1051,703422434,Stub
1052,703423083,Start
1053,703436823,Start
1054,703442039,Start
1055,703463813,Start
1056,703477174,Stub
1057,703478926,Stub
1058,703494680,Start
1059,703495399,Stub
1060,703507854,Stub
1061,703532164,Stub
1062,703540064,Start
1063,703546632,Start
1064,703547153,Stub
1065,703550487,Stub
1066,703551448,Stub
1067,703555897,Stub
1068,703558722,Stub
1069,703558902,Stub
1070,703559376,Stub
1071,703559571,Stub
1072,703560413,Stub
1073,703569338,Stub
1074,703580130,Stub
1075,703652809,Start
1076,703666654,Start
1077,703693244,Stub
1078,703707383,Start
1079,703719281,Start
1080,703721936,Stub
1081,703726449,Stub
1082,703726461,Stub
1083,703759447,C
1084,703773782,
1085,703819839,Stub
1086,703821686,Stub
1087,703857757,Stub
1088,703874973,Stub
1089,703875077,Stub
1090,703915721,C
1091,703922417,Stub
1092,703925527,Stub
1093,703937309,Stub
1094,703937386,Stub
1095,703955448,Stub
1096,704000120,Stub
1097,704001951,Stub
1098,704004670,Stub
1099,704010140,Start
1100,704039243,Stub
1101,704039294,Stub
1102,704047959,Stub
1103,704094181,Stub
1104,704136762,Stub
1105,704235837,Start
1106,704358444,C
1107,704369545,Stub
1108,704373054,Stub
1109,704424304,Stub
1110,704428239,Stub
1111,704438564,Stub
1112,704438953,Stub
1113,704451065,Start
1114,704452023,Start
1115,704455431,Stub
1116,704460602,Start
1117,704467987,Stub
1118,704476712,Stub
1119,704491213,Stub
1120,704516768,Start
1121,704529226,Stub
1122,704529261,Start
1123,704529371,Stub
1124,704529469,Stub
1125,704529565,Stub
1126,704529649,Stub
