,page,country,rev_id,rev_ids,ratings
2259,Felicja Gwincińska,Poland,712891476,712891476,
2377,Shah Seyyed Ali Kazemi,Iran,713368646,713368646,
2565,Fawzi al-Ghazzi,Syria,714352602,714352602,
2878,Armin Halitović,Bosnia-Herzegovina,715273866,715273866,
2974,Gissur Petersson,Iceland,715534283,715534283,
3665,Bakhtiar Mahmud Kasuri,Pakistan,717927381,717927381,
4035,Friedrich Peus,Germany,719521006,719521006,
4052,Talib Garingan Pawaki,Philippines,719581803,719581803,
4182,Christian Raster,Germany,720054719,720054719,
4292,Kimball–Snow–Woolley family,United States,720356159,720356159,
4396,Malak Zmarak Khan Mandokhail,Pakistan,720688837,720688837,
4651,Max Adolf Richter,Germany,721509220,721509220,
5343,David J. Reimer,Canada,724052271,724052271,
5968,Eistein Rajaonary,Madagascar,726600165,726600165,
6588,Mahesh Kumar Malani,Pakistan,730950147,730950147,
7125,Patrick Nwakamma Ottih,Cameroon,734957625,734957625,
7309,Liam Mac an Ultaigh,Ireland,736660951,736660951,
7401,Alois Buttinger,Austria,737123608,737123608,
7791,Marcel Hatch,Canada,738514517,738514517,
7872,Rajabboy Norkallayev,Tajikistan,738984692,738984692,
9298,Bia Venâncio,Brazil,747688056,747688056,
9333,Pat Bridson,Ireland,747922835,747922835,
9655,Wanmelbu,Vanuatu,749326717,749326717,
10637,Diyar Khan Yaqubi,Pakistan,754739349,754739349,
11129,Arthur Gregorian,Armenia,756697478,756697478,
12141,Marcelo Cerqueira,Brazil,757313957,757313957,
12886,Ahmad Balal,Pakistan,757961591,757961591,
13336,Saleh Al Shal,United Arab Emirates,760194556,760194556,
13337,Josef Siegele,Austria,760195376,760195376,
13949,Elisha Shapiro,United States,763558111,763558111,
14084,Lennox Farrell,Canada,764019224,764019224,
14263,Obuobia Darko-Opoku,Ghana,764911200,764911200,
14438,Zeev Schwartz,Israel,765662083,765662083,
14562,Giammarco Montanari,Italy,766101638,766101638,
15010,Muhammad Abdul Haque,Bangladesh,768013050,768013050,
15246,Rajat Majumdar,India,768871687,768871687,
15937,Sheikh Zakaria Ansari,Iran,771213598,771213598,
16034,Muhammad Yar Khan Mandokhail,Pakistan,771642775,771642775,
16467,Hari Bahadur Rai,Nepal,773355081,773355081,
16626,Khaled Negm,Egypt,774023957,774023957,
16708,Phil Hobson,United Kingdom,774293013,774293013,
17571,John Palino,New Zealand,777163201,777163201,
18254,Jacek Maciej Wenderlich,Poland,779101752,779101752,
18266,Mohamad Hamim Aliyas,Singapore,779135011,779135011,
18776,Chaudhry Zafar Iqbal Warraich,Pakistan,779954797,779954797,
18779,Rana Assad Amin,Pakistan,779957437,779957437,
19439,Batul Soltani,Iran,782170063,782170063,
20010,Rose Sales,Brazil,783382630,783382630,
21535,Mariano Lazcano,Spain,786721553,786721553,
21827,Mian Fareed Abbas Kathia,Pakistan,787181453,787181453,
22094,Abdolmajid Pirzadeh Jahromi,Iran,787391918,787391918,
22115,Abdul Latif Khalid Cheema,Pakistan,787398581,787398581,
23015,Mahesh Kumar,Pakistan,788310383,788310383,
23448,Vithal Chavan,India,788722110,788722110,
24408,Jaybahadur Hitan Magar,Nepal,788844423,788844423,
25622,Fernando Linera,Spain,789080627,789080627,
26017,Harald Haas (Pirate Party),Austria,789271422,789271422,
26128,Zhang Yuhuan,China,789281061,789281061,
26171,Hameeda Waheeduddin,Pakistan,789285762,789285762,
26178,Zheng Shekui,China,789286413,789286413,
28191,Farouk Sharif,Philippines,790028876,790028876,
28348,Idoia Zenarrutzabeitia Beldarrain,Spain,790147995,790147995,
29641,Claybourn – Claiborne – Clayborn family,United States,791866288,791866288,
29977,Marko Selakovic,Serbia,792400552,792400552,
30205,Caleb Crosby,United States,792857662,792857662,
30251,Draft:John Johansson i Gränö,Sweden,792933603,792933603,
30497,Tibor Gaal de Hatvan,Hungary,793280504,793280504,
31226,Chukwuemeka Ihedioha,Nigeria,794311724,794311724,
31626,List of Ghana heads of state by age,Ghana,794866848,794866848,
31771,Alfred Moungara Moussotsi,Gabon,794990759,794990759,
32226,Fraz Wahlah,Pakistan,795588781,795588781,
33696,Dan Hilton,Canada,797311794,797311794,
35245,Maria Hadjipavlou,Cyprus,798891126,798891126,
35669,V. Sadasivan,India,799263010,799263010,
35987,Mohd Eekmal Ahmad,Malaysia,799540668,799540668,
36344,Raja Muhammad Akbar Khan,Pakistan,799880073,799880073,
36414,Rich Eychaner,United States,799933274,799933274,
36623,Craig Huey,United States,800144885,800144885,
36949,Donald Jeffrey Large,United States,800299837,800299837,
37135,Dragan Klaric,Sweden,800471126,800471126,
37216,Bashir Ahmed Sarki,Pakistan,800574730,800574730,
38096,Anwara Ali,United Kingdom,801306872,801306872,
38614,Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,801638735,
38784,Ouyang Xiu,China,801835819,801835819,
39113,Ali Asghar Khan (politician),Pakistan,802148439,802148439,
39550,Ananda Syahendar Perdana,Indonesia,802475516,802475516,
39584,Ezatullah Mujahid,Afghanistan,802515929,802515929,
39895,Maciej Filip Zegarski,Poland,802765034,802765034,
40042,Bernard Binlin Dadié,Ivorian,802904214,802904214,
40092,Than Htay,Myanmar,802937732,802937732,
40510,Anatoliy Peshko,Ukraine,803413615,803413615,
40594,Kevin Hardwick,United States,803484030,803484030,
40902,David Sparrow,Canada,803784385,803784385,
41237,Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,804057093,
41331,João Victor Guedes,Brazil,804118645,804118645,
41395,Kampa Borgoyary,India,804158476,804158476,
41772,Lucia Lucchesi-Ghiselli,Italy,804473605,804473605,
42026,Lib Peck,United Kingdom,804697858,804697858,
42121,Dudley–Winthrop family,United States,804791599,804791599,
42366,William M. Rainach,United States,804945338,804945338,
42379,David J. Dwork,United States,804946658,804946658,
42573,Lav Grigorije Pajkić,Serbia,805041930,805041930,
42819,Richards–Young family,United States,805211553,805211553,
43113,Ian Axton,United Kingdom,805420467,805420467,
43661,Political positions of Pat Buchanan,United States,805788048,805788048,
43905,Hossein Khan Movaghar,Iran,805936041,805936041,
43984,Valeriy Panasenko,Moldova,805993160,805993160,
44042,Edivaldo Holanda Júnior,Brazil,806030859,806030859,
44263,Rajah Alon,Philippines,806179522,806179522,
44349,Golam Mohammad Rabbani,Bangladesh,806223655,806223655,
44606,Mohammed Naguib,Egypt,806372496,806372496,
45134,Rajah Gambang,Philippines,806695084,806695084,
45342,Olajide Awosedo,Nigeria,806811023,806811023,
45921,Dirtbag Left,United States,807161510,807161510,
46014,Guy Georgias,Zimbabwe,807196681,807196681,
46287,John Rose (Trotskyist),United Kingdom,807336308,807336308,
46367,Jalal Movaghar,Iran,807367030,807367030,
46368,Mohsen Movaghar,Iran,807367166,807367166,
