,article_name,country,revision_id,article_quality,population
401,Khek Vandy,cambodia,778806364.0,Stub,16000000
402,Khun Haing,cambodia,778825745.0,Stub,16000000
403,Khy Taing Lim,cambodia,778830534.0,Stub,16000000
404,Kimsour Phirith,cambodia,778947267.0,Stub,16000000
405,Kuoch Ky,cambodia,779440080.0,Stub,16000000
406,Kuoy Bunroeun,cambodia,779441002.0,Stub,16000000
407,Chou Bun Eng,cambodia,779541149.0,Start,16000000
408,Ke Sovannaroth,cambodia,779541334.0,Stub,16000000
409,Norodom Rattana Devi,cambodia,779541359.0,Stub,16000000
410,Norodom Vichara,cambodia,779541415.0,Stub,16000000
411,Nin Saphon,cambodia,779541481.0,Stub,16000000
412,Tioulong Saumura,cambodia,779541578.0,Start,16000000
413,Som Kimsuor,cambodia,779541650.0,Stub,16000000
414,Suy Sem,cambodia,780608915.0,Stub,16000000
415,Sourn Serey Ratha,cambodia,780691538.0,Stub,16000000
416,Ly Son,cambodia,782622853.0,Stub,16000000
417,Ly Thuch,cambodia,782622857.0,Stub,16000000
418,List of heads of state of Cambodia,cambodia,782894395.0,C,16000000
419,Son Sann,cambodia,783107330.0,C,16000000
420,Mam Bun Neang,cambodia,783142781.0,Stub,16000000
421,Chan Sarun,cambodia,783239117.0,Stub,16000000
422,Mao Monyvann,cambodia,783294124.0,Stub,16000000
423,Men Sam An,cambodia,784442393.0,Stub,16000000
424,Mey Norn,cambodia,784629286.0,Stub,16000000
425,Sok An,cambodia,784962640.0,C,16000000
426,Yem Sambaur,cambodia,786198076.0,Start,16000000
427,Yim Sovann,cambodia,786409843.0,C,16000000
428,Ek Yi Oun,cambodia,786826707.0,Stub,16000000
429,Lu Laysreng,cambodia,787016670.0,Stub,16000000
430,Math Ly,cambodia,787260537.0,Stub,16000000
431,Chem Widhya,cambodia,787978108.0,Start,16000000
432,Pa Socheatvong,cambodia,788070748.0,Stub,16000000
433,Governor of Phnom Penh,cambodia,788070776.0,Stub,16000000
434,Son Sen,cambodia,788368060.0,C,16000000
435,Pen Sovan,cambodia,788398926.0,Start,16000000
436,Sak Sutsakhan,cambodia,788540352.0,C,16000000
437,Amath Yashya,cambodia,788758065.0,Stub,16000000
438,Tong Siv Eng,cambodia,788799479.0,Stub,16000000
439,Norodom Chakrapong,cambodia,788905950.0,GA,16000000
440,Prak Sokhon,cambodia,790023943.0,Start,16000000
441,Khieu Samphan,cambodia,792012094.0,C,16000000
442,Sisowath Sirik Matak,cambodia,792274582.0,C,16000000
443,Sam Sary,cambodia,792556486.0,Start,16000000
444,Tou Samouth,cambodia,792731504.0,Start,16000000
445,Yun Yat,cambodia,793218721.0,Stub,16000000
446,Khieu Ponnary,cambodia,793723115.0,Start,16000000
447,Cham Prasidh,cambodia,793746447.0,Start,16000000
448,Ung Huot,cambodia,794239262.0,Start,16000000
449,Veng Sereyvuth,cambodia,794714434.0,Stub,16000000
450,Ieng Mouly,cambodia,795214039.0,Stub,16000000
451,Pou Sothirak,cambodia,796696955.0,Stub,16000000
452,Chea Sim,cambodia,797224256.0,C,16000000
453,Hu Nim,cambodia,797444265.0,C,16000000
454,Sim Var,cambodia,797618265.0,Start,16000000
455,Bin Chhin,cambodia,797673057.0,Stub,16000000
456,Sim Ka,cambodia,798039997.0,Stub,16000000
457,Hou Yuon,cambodia,798241496.0,C,16000000
458,Phiset Phanit,cambodia,799124051.0,Stub,16000000
459,Norodom Sihanouk,cambodia,799302232.0,FA,16000000
460,Pao Ham Phan,cambodia,799453681.0,Stub,16000000
461,Heng Samrin,cambodia,799719505.0,Start,16000000
462,Kang Kek Iew,cambodia,799772448.0,C,16000000
463,Leng Ngeth,cambodia,800087187.0,Stub,16000000
464,Spouse of the Prime Minister of Cambodia,cambodia,800348414.0,Stub,16000000
465,Nhiek Tioulong,cambodia,801079233.0,Start,16000000
466,Keo Puth Rasmey,cambodia,801523347.0,Stub,16000000
467,Khem Veasna,cambodia,802456666.0,C,16000000
468,Tea Banh,cambodia,802643748.0,Start,16000000
469,Ieng Sary,cambodia,802839704.0,C,16000000
470,Son Ngoc Minh,cambodia,803084525.0,Start,16000000
471,List of monarchs of Cambodia,cambodia,803230439.0,C,16000000
472,Ran Serey Leakhena,cambodia,803481048.0,Stub,16000000
473,Lon Non,cambodia,803936929.0,C,16000000
474,Lon Nil,cambodia,803936986.0,Start,16000000
475,Mu Sochua,cambodia,804631223.0,C,16000000
476,Penn Nouth,cambodia,804717865.0,Start,16000000
477,Hang Chuon Naron,cambodia,804785628.0,Start,16000000
478,Hong Sun Huot,cambodia,805459200.0,Stub,16000000
479,Sam Rainsy,cambodia,805740662.0,C,16000000
480,Nuon Chea,cambodia,805876135.0,GA,16000000
